PacketCounter,Left_Hip,Right_Hip
499,0.596275151,39.90977097
500,1.179046512,41.11224747
501,1.910276771,41.63489914
502,2.954384089,41.24605942
503,4.432058811,40.05669022
504,6.222818851,38.36725235
505,8.06092453,36.3361702
506,9.93375206,33.71937943
507,12.04192543,31.62186813
508,14.59002876,30.26913071
509,17.44798851,29.14066505
510,19.94215584,27.62892151
511,22.15101051,25.80069351
512,24.53572083,23.94662476
513,27.2343483,22.32333565
514,29.88329315,20.70907593
515,32.39121246,19.10951805
516,33.98285675,17.68102646
517,34.93822861,16.38841057
518,36.03360367,14.54411793
519,37.49954605,12.23269844
520,38.8093338,10.89354324
521,39.26123428,10.62476158
522,38.95084763,10.49137974
523,38.00981522,10.78528976
524,36.18259048,11.83790207
525,34.16431427,13.52310467
526,31.94006157,15.94371796
527,29.21322441,19.23004341
528,26.62338066,22.99923897
529,24.31505966,26.56807137
530,21.94180489,29.95159531
531,19.33394623,32.92757797
532,17.08006668,35.90310287
533,14.98792648,39.15881348
534,12.86659336,41.248703
535,10.95307636,43.23157501
536,9.29607296,44.99746323
537,7.755772114,46.88166046
538,6.383763313,49.1229248
539,5.143060684,50.34625244
540,3.836723804,50.66231918
541,2.486969471,50.78240585
542,1.379633427,50.61663818
543,0.714058459,49.69307327
544,0.591175318,48.17473984
545,0.949424386,46.45196533
546,1.658451438,44.54937744
547,2.654842377,42.75131989
548,4.153027058,41.35659027
549,6.52829504,39.15005875
550,9.787909508,35.52791977
551,13.15644264,32.2954483
552,16.38144112,29.48858452
553,19.39460945,26.99860001
554,21.71935272,25.41044617
555,23.8790493,23.90139961
556,26.46661758,22.14374733
557,29.39108658,20.26873398
558,32.247715,18.30555725
559,34.87927628,16.41856003
560,37.15672302,14.74538136
561,39.19829941,13.22790337
562,40.90818405,11.56941319
563,41.83470154,10.30627155
564,41.63527679,10.34754944
565,40.20355225,11.10768509
566,37.82918167,11.30973148
567,34.75234604,11.87944698
568,31.31714821,13.08922863
569,27.47236252,14.95517254
570,23.08576202,16.57670212
571,19.58258057,18.01146507
572,16.80817795,20.13269234
573,14.35879803,22.65385628
574,12.02148438,24.89578247
575,10.06943607,27.50057411
576,8.48445034,30.54493332
577,7.413233757,33.82468033
578,6.779603004,37.05970001
579,6.483960152,39.81397247
580,6.736866474,40.45874023
581,7.783760548,40.77223969
582,9.501854897,41.0084343
583,11.34781837,40.06925201
584,13.26011181,37.73157501
585,15.55374622,34.12068558
586,18.26815033,30.27256012
587,21.46443748,27.4718132
588,25.04530144,25.9672184
589,28.52031326,25.33672142
590,32.12800598,24.63562584
591,35.16887665,23.28166962
592,37.33800125,21.91727448
593,38.7955246,20.1939621
594,39.39699554,18.51655388
595,38.71065903,16.74633598
596,37.14854431,14.73433399
597,35.48076248,12.78468418
598,33.795681,10.50307941
599,32.2685318,8.221899986
600,30.97804642,6.464519978
601,29.14847755,5.460157871
602,26.86408234,5.337127209
603,25.05780983,5.920567513
604,23.60506439,7.007510185
605,21.54127884,8.407351494
606,19.04776192,10.13054848
607,16.5579052,12.38809776
608,14.19050694,14.7178793
609,12.52198601,16.60924721
610,11.28853035,18.53937912
611,10.02451134,20.41071129
612,8.774450302,22.06751442
613,7.482872009,23.79332924
614,5.983707905,26.03841209
615,4.381529808,28.69717598
616,3.201431274,31.14499092
617,2.30763936,32.49887085
618,1.472681165,33.19654846
619,0.806858242,33.33453751
620,0.84076196,32.68792343
621,1.39907372,30.86112022
622,2.558430672,28.1282196
623,4.25970602,25.70744514
624,6.222517967,22.71318626
625,7.93711853,21.26033974
626,9.082252502,18.98559952
627,10.66449928,17.93471146
628,12.90027618,17.14172554
629,15.30905437,15.76332855
630,17.91812325,14.63311195
631,20.56997871,13.32369232
632,23.12083054,12.21533298
633,25.6277504,11.56705379
634,27.83967018,10.75844002
635,29.60012054,9.625806808
636,30.77660751,8.221859932
637,31.7131176,7.126508713
638,32.60518265,6.755608559
639,33.11627579,6.645437241
640,32.92276382,6.978363037
641,31.94578934,8.188066483
642,30.61291885,10.17951202
643,29.23021126,12.40612888
644,27.27810669,15.3412962
645,24.75060081,19.02664185
646,21.96440506,22.51002121
647,19.26561165,26.06713486
648,16.75362587,30.14433289
649,14.65555286,33.99203491
650,12.89313602,36.85808563
651,10.93849182,39.53017807
652,9.054933548,42.73884201
653,7.499569893,45.87906265
654,6.108224869,48.10864639
655,4.888062477,49.10578918
656,3.82242322,48.99913788
657,2.90871048,48.1558876
658,1.973758578,46.73465729
659,1.102088094,44.58818054
660,0.638378143,41.94612885
661,0.742057562,39.29398346
662,1.428707719,36.94656372
663,2.473282814,35.04364395
664,3.837187529,32.96673203
665,5.830756664,30.18082047
666,8.470686913,27.07908058
667,10.8485117,24.18041801
668,13.27865028,21.68921471
669,16.07265282,19.7786026
670,18.44215012,18.53893661
671,20.23226547,16.83084869
672,22.01661301,15.1743021
673,24.27592278,13.64295578
674,26.87676048,11.94758224
675,29.52885056,10.05784321
676,32.06026077,8.495563507
677,34.32609177,7.070877075
678,36.29674911,5.314398766
679,37.55204391,3.834268093
680,37.37881088,3.057439566
681,36.12974548,2.54532361
682,34.10840607,2.313007593
683,31.7747345,2.504184484
684,29.88117027,3.438572645
685,27.91948509,4.679126263
686,25.54593658,6.096120358
687,22.57904434,8.256590843
688,19.51540756,10.90253353
