PacketCounter,Left_Hip,Right_Hip
1629,-31.23379326,-43.53869629
1630,-29.35087013,-41.91831207
1631,-27.10441399,-40.12031937
1632,-24.71075439,-38.26254654
1633,-22.54095268,-36.4107666
1634,-20.31833458,-34.48340607
1635,-17.88908386,-32.44808578
1636,-14.73672962,-30.61717796
1637,-10.95645046,-30.72583771
1638,-6.564938068,-30.73355293
1639,-2.028570652,-30.40185547
1640,2.780057669,-29.67107964
1641,6.682175636,-28.39053154
1642,8.586310387,-25.99679756
1643,9.032325745,-23.65076637
1644,8.13131237,-19.72793579
1645,8.054986,-14.67270088
1646,8.571577072,-12.53845882
1647,9.326395035,-11.10658455
1648,9.538265228,-11.35412025
1649,9.530283928,-12.1534462
1650,9.784021378,-13.10381985
1651,10.14797497,-14.82273006
1652,10.40899467,-15.9392643
1653,10.67823887,-16.48147392
1654,10.91903305,-15.85380173
1655,11.07977962,-14.29040241
1656,11.15528679,-12.8025465
1657,11.18534565,-11.39475536
1658,11.20235443,-10.05259705
1659,11.30565929,-9.728822708
1660,11.30971718,-9.414693832
1661,11.31552792,-9.828289986
1662,11.18344975,-10.41510105
1663,10.88097572,-10.38764381
1664,10.48573589,-9.884660721
1665,10.18397331,-9.30652523
1666,10.18016338,-8.935573578
1667,10.2094717,-9.045819283
1668,10.05477047,-9.16006279
1669,9.909916878,-8.981052399
1670,9.8788414,-9.075750351
1671,9.913124084,-8.77848053
1672,9.93287468,-8.791330338
1673,9.926050186,-8.817463875
1674,9.966422081,-9.00908947
1675,9.904695511,-9.304608345
1676,9.876690865,-9.590040207
1677,9.992083549,-9.62551403
1678,10.11654758,-9.391663551
1679,10.1932869,-9.299629211
1680,10.35229206,-9.113419533
1681,10.667799,-9.01321125
1682,11.07219696,-8.566803932
1683,11.62561131,-8.01055336
1684,12.39653206,-7.424131393
1685,13.34934521,-6.552144051
1686,14.50126743,-5.401204109
1687,15.74631691,-4.253827572
1688,17.20286369,-3.517614841
1689,18.9139595,-2.537385464
1690,20.21455956,-1.280836701
1691,21.0622406,-0.083941139
1692,21.90519524,0.781075239
1693,22.86224937,1.131263494
1694,23.69879532,1.728073478
1695,24.46358681,2.730319023
1696,25.15611649,3.591391087
1697,25.59359932,4.298923016
1698,25.57368279,5.040875912
1699,25.10630226,5.479907036
1700,24.346838,5.578342915
1701,23.39895439,5.34431982
1702,22.45606995,4.56809473
1703,21.04772949,3.133708715
1704,18.65503883,1.979465008
1705,15.42508411,0.989083648
1706,11.65336037,-1.085882068
1707,7.294916153,-4.620297432
1708,2.441134214,-8.875819206
1709,-3.087839365,-13.98272705
1710,-8.896520615,-17.65748024
1711,-14.91409397,-20.46717453
1712,-20.49374008,-23.42012215
1713,-25.12802124,-27.03731346
1714,-28.34929848,-30.75231552
1715,-30.01311493,-34.01117706
1716,-30.03450394,-36.0875206
1717,-28.15813255,-36.89161682
1718,-25.23353386,-36.49941635
1719,-22.58558655,-35.14200592
1720,-20.58331871,-32.92107391
1721,-18.36710548,-29.95760918
1722,-16.56593323,-26.67501068
1723,-14.82669449,-25.07802582
1724,-12.86287498,-24.4273243
1725,-10.84376431,-23.78965759
1726,-7.832971096,-22.93396759
1727,-4.880523205,-21.36216354
1728,-2.305937767,-19.00418282
1729,0.246570185,-15.17814922
1730,2.449940443,-11.94776154
1731,4.386270046,-9.930610657
1732,6.582467556,-8.311159134
1733,8.897585869,-6.874186993
1734,11.0429287,-5.450618744
1735,12.69379425,-3.797398567
1736,13.8716917,-2.723349571
1737,14.65907669,-1.808653355
1738,15.12031937,-0.971429527
1739,15.54133606,-0.392229766
1740,16.12409782,-0.163821205
1741,16.90395355,0.440244317
1742,17.41621208,0.710299432
1743,17.21665001,0.215740696
1744,16.0815773,-0.38143304
1745,14.17375374,-1.68614924
1746,12.09938145,-2.976318359
1747,10.27438545,-3.960432291
1748,8.267465591,-5.683312893
1749,6.055631161,-7.507898331
1750,3.888098478,-9.140159607
1751,1.99228251,-10.1067152
1752,0.371302992,-10.53877068
1753,-1.107924104,-10.53939056
1754,-2.304166555,-10.12363911
1755,-3.259280205,-9.600683212
1756,-4.11366415,-9.092913628
1757,-4.848403454,-8.80774498
1758,-5.429463387,-9.406904221
1759,-5.811622143,-10.7901659
1760,-6.090272903,-11.65937233
1761,-6.457755089,-12.28832626
1762,-6.94212389,-12.88947487
1763,-7.287242413,-13.43230343
1764,-7.569978237,-13.81143093
1765,-7.633679867,-14.18439102
1766,-7.614885807,-14.73051357
1767,-7.596140385,-15.00293064
1768,-7.662191868,-15.35482025
1769,-7.828675747,-15.6801815
1770,-8.147352219,-16.0163784
1771,-8.303900719,-16.43851662
1772,-8.412601471,-16.9897747
1773,-8.527183533,-17.74794197
1774,-8.72796917,-18.23842812
1775,-8.895909309,-18.73624611
1776,-9.151183128,-19.41460991
1777,-9.429368973,-20.19021606
1778,-9.618377686,-20.81346512
1779,-9.870983124,-21.27668381
1780,-10.21723175,-21.53357697
1781,-10.57398987,-21.90991783
1782,-10.9382658,-22.25065231
1783,-11.35646439,-22.59781265
1784,-11.79105282,-23.01142883
1785,-12.169734,-23.3762989
1786,-12.55375385,-23.74980927
1787,-13.00689411,-24.03981781
1788,-13.51390553,-24.31227493
1789,-14.06973553,-24.60416794
1790,-14.6324873,-24.94029045
1791,-15.17066002,-25.36767197
1792,-15.72484589,-25.86842346
1793,-16.32567406,-26.40308571
1794,-16.91747665,-27.03272438
1795,-17.51333809,-27.85897255
1796,-18.11420441,-28.77083397
1797,-18.79132843,-29.71375847
1798,-19.58979988,-30.84539413
1799,-20.3745327,-32.21936035
1800,-21.11648369,-33.70929337
1801,-21.61007309,-35.42272568
1802,-22.10223579,-37.10192108
1803,-22.74310875,-38.6767807
1804,-23.21732521,-40.00824356
1805,-23.98844147,-41.47398758
1806,-24.93901634,-42.99257278
1807,-26.06331825,-44.47290039
1808,-27.38040161,-46.12562943
1809,-28.91190338,-47.92507553
1810,-30.5306797,-49.63008118
1811,-32.14826965,-51.14945602
