PacketCounter,Left_Hip,Right_Hip
760,-1.765350938,-17.01013184
761,-2.306114674,-16.66646767
762,-2.975603342,-16.44848251
763,-3.664676189,-16.12549973
764,-4.311336994,-15.65759563
765,-4.905448914,-15.28356934
766,-5.261912823,-14.9265728
767,-5.391448498,-14.53706741
768,-5.191111088,-14.27387047
769,-4.85750246,-13.99264717
770,-4.428848743,-13.53928566
771,-4.159827232,-13.03918839
772,-4.13874197,-12.53624916
773,-4.37587738,-11.85265923
774,-4.591478825,-10.90757751
775,-4.06293869,-9.660292625
776,-3.113836288,-7.840473175
777,-1.908582568,-5.668199062
778,-0.774877012,-3.149387121
779,1.160542965,-0.327541351
780,3.619468451,3.073825598
781,6.152119637,6.527468204
782,8.431271553,8.066017151
783,11.08455372,10.52496052
784,14.30112648,12.96547222
785,17.55465889,15.47296715
786,20.16799545,16.90530205
787,21.44115639,17.84392929
788,21.39911652,18.11258316
789,21.07100677,16.30462456
790,21.03299141,15.71187019
791,20.34078217,15.44628143
792,19.48904991,14.99128151
793,18.40850067,14.85049629
794,17.81682396,15.25468826
795,17.73616028,15.00547314
796,17.73996353,14.26538086
797,17.84965897,13.72254467
798,18.1859417,13.61964798
799,18.46836662,14.07387638
800,18.40802193,14.91876698
801,17.94307518,15.61961842
802,17.82258987,16.0026207
803,17.70462799,16.04940033
804,17.48017883,16.27391243
805,17.4635582,16.41700172
806,17.56084824,16.3585186
807,17.52120018,16.17102242
808,17.30558586,15.89048481
809,17.16841888,15.7613821
810,17.02606964,15.69555759
811,16.86859703,15.40586281
812,16.62368965,15.26945019
813,16.44112587,14.98078728
814,16.44028854,14.44854641
815,16.62434006,14.06707478
816,16.82956696,13.87409496
817,17.09756279,13.90212154
818,17.28540993,14.21603298
819,17.50298119,14.73870468
820,17.84669113,15.09820843
821,18.27783203,15.42124367
822,18.79509354,15.31259441
823,19.4142704,15.38778782
824,20.14521027,15.93036652
825,21.03652954,16.36515427
826,22.03155708,17.0067482
827,23.08341408,17.89798546
828,24.12001991,19.10129356
829,25.17380905,20.30971718
830,26.51962471,21.69116974
831,27.54910088,22.75134277
832,28.22126198,23.65015411
833,28.8313694,24.27341461
834,29.31769943,24.61427689
835,29.82185936,24.66571808
836,30.13563538,24.64024925
837,30.30800438,24.53840828
838,30.4787159,24.5405674
839,30.56204414,24.35208702
840,30.51874733,23.8672142
841,30.484272,23.04284286
842,30.51256561,21.93035889
843,30.41762543,20.27467918
844,30.02548027,18.27596474
845,29.4659729,16.12734222
846,28.64577675,13.59159565
847,27.37935066,10.56637859
848,25.35089874,7.19378233
849,22.58031654,4.159365177
850,19.00302505,1.291379452
851,14.38920784,-1.327025533
852,9.057084084,-3.65192771
853,3.5827353,-5.042092323
854,-1.609377265,-5.648570061
855,-6.657160282,-6.050251961
856,-11.66965485,-6.315639019
857,-16.32398224,-6.307846546
858,-20.1021843,-6.165059566
859,-22.6514492,-6.204440594
860,-23.65764236,-6.174641132
861,-23.65022469,-5.43510437
862,-22.54869461,-3.750187874
863,-20.39795876,-1.906370282
864,-18.53679848,0.410020858
865,-16.82893753,2.602627277
866,-15.070714,4.240860462
867,-12.96500206,5.094344139
868,-10.8903389,5.5256567
869,-8.492612839,6.601428986
870,-5.683972836,9.060928345
871,-2.281663656,11.52933025
872,1.340438843,13.76865387
873,4.916097641,15.48760605
874,8.548706055,16.99176979
875,11.21004295,18.55909729
876,13.03718567,20.20112801
877,15.37786579,22.32449913
878,18.70513153,24.47344398
879,22.44989586,26.48443604
880,25.60714722,28.15636826
881,28.20479012,29.5194397
882,30.74140549,30.99105835
883,33.02481461,32.41137695
884,34.88787079,33.26992035
885,36.46221924,33.68572617
886,38.0634346,33.64986801
887,39.79367447,33.466259
888,41.3168869,33.258255
889,42.40235519,32.8894043
890,43.13113785,32.5601387
891,43.71012497,32.11779785
892,44.26810837,31.54648209
893,44.69444275,30.70802879
894,44.87376785,29.49851227
895,44.80935287,28.05906868
896,44.52833557,26.26758003
897,44.11228561,24.00739098
898,43.41089249,21.45112801
899,42.15830994,18.70455933
900,40.61491013,15.96680355
901,38.86367035,13.27985382
902,36.83367538,10.43359184
903,34.19552231,7.456242561
904,31.11351013,4.63939476
905,27.60552216,2.061261892
906,23.40810394,-0.053173248
907,18.91103554,-2.072796345
908,13.97986507,-4.126413345
909,8.90329361,-5.8489995
910,3.520062447,-7.331174374
911,-2.100441694,-8.657606125
912,-7.533123493,-9.559389114
913,-12.38884926,-9.759845734
914,-16.35349655,-9.236366272
915,-19.11723518,-8.329182625
916,-20.63150787,-7.169632435
917,-20.82531548,-5.082016468
918,-19.39038849,-2.768497229
919,-17.09034729,-1.536906838
920,-15.6994772,0.137032494
921,-14.58257675,2.446992874
922,-12.68090153,4.694507122
923,-10.04516506,6.187580585
924,-7.678079605,7.234002113
925,-5.157701015,8.773062706
926,-1.632135034,11.19919968
927,2.451631069,13.81114197
928,6.632270813,16.66544533
929,10.70482159,18.98607254
930,13.34289932,20.12891006
931,14.57919598,20.5033989
932,15.97354889,20.88442802
933,18.10535431,21.50137711
934,20.49277115,22.4841156
935,22.49151993,23.33378792
936,24.23966217,24.04500771
937,25.8537178,24.63580894
938,27.10313797,24.97219276
939,28.08325768,24.92385864
940,28.98649597,24.3314476
941,29.71647072,23.45189285
942,30.39862442,22.61215019
943,30.85300255,21.70781708
944,31.03037643,20.71142006
945,30.97673798,19.58370972
946,30.89849281,18.49307632
947,30.79534531,17.28813744
948,30.52046776,15.83355331
949,30.00065613,14.2002058
950,29.10676003,12.23540211
951,27.98117065,9.975028992
952,26.58801079,7.56293726
953,24.64597893,5.143948078
954,22.41662216,2.632543325
955,19.7817955,0.13401857
956,16.47126389,-2.606697083
957,12.32397556,-5.295426846
958,7.269598484,-7.672270298
959,1.375991106,-9.602536201
960,-4.902801991,-11.03424835
961,-10.79005718,-12.31672192
962,-16.05670929,-13.01264381
963,-20.77953911,-13.54881763
964,-24.76758766,-14.37881565
965,-27.64517784,-14.84488678
966,-29.60017586,-14.53263283
967,-30.38611603,-13.92175579
968,-30.27912331,-13.2055645
969,-29.12492371,-12.43832874
970,-27.82049751,-11.0087347
971,-27.13102341,-9.208823204
972,-26.17344284,-7.03343153
973,-24.57559204,-5.104310989
974,-22.74901009,-4.325534344
975,-20.69277191,-4.325416088
976,-18.85654831,-4.864327431
977,-17.15714836,-5.046590328
978,-15.48704243,-3.562725067
979,-13.67446136,-0.608017445
980,-11.30575562,2.612109661
981,-8.695058823,5.47687912
982,-6.387700558,7.703400135
983,-4.145648003,9.455924988
984,-1.603283763,10.7669096
985,0.640643299,11.90912056
986,2.482053995,12.95842838
987,4.303063393,14.26989746
988,6.176859379,15.43036747
989,7.96458292,15.78845024
990,9.395932198,15.5555954
991,10.35026646,15.24877644
992,10.91657925,14.59974766
993,11.40365505,13.08119202
994,12.05197239,10.6492939
995,12.34138012,7.910979748
996,12.00695038,5.957286835
997,10.69908619,4.292318344
998,8.07281208,2.136655569
999,4.754106522,-0.603405476
1000,1.238041639,-2.710991144
1001,-2.235169649,-5.194207191
1002,-6.471382618,-7.558857918
1003,-11.78549004,-10.32927513
1004,-17.73045921,-11.69986343
1005,-22.83124352,-10.58761787
1006,-26.13487816,-9.282122612
1007,-27.45002556,-9.28110218
1008,-27.45153999,-9.170807838
1009,-26.54454803,-9.092657089
1010,-23.57992935,-8.769454956
1011,-21.09392929,-6.698431969
1012,-19.52158546,-4.127159119
1013,-16.71982765,-1.683086157
1014,-13.84427738,-0.022031203
1015,-10.89178371,1.842762232
1016,-6.86475563,2.861190081
1017,-2.88150692,3.17002368
1018,-0.208018124,3.230822563
1019,2.013349533,4.305318356
1020,3.52180934,6.203065872
1021,5.124961853,8.196555138
1022,6.824117661,9.231874466
1023,8.699336052,9.588077545
1024,10.81645966,9.864479065
1025,12.65130234,10.08238792
1026,13.96407986,10.2504406
1027,14.98453236,10.34820557
1028,15.85317326,10.27838612
1029,16.50535011,9.767495155
1030,16.83828926,8.820137978
1031,16.94791985,7.484629154
1032,16.80132294,6.055102825
1033,16.24280357,4.571156979
1034,14.98224354,2.917228699
1035,13.14107323,1.320415139
1036,10.89263725,-0.412145317
1037,8.176112175,-2.265028238
1038,4.780073166,-3.881212234
1039,0.666323423,-5.118579388
1040,-4.015165806,-6.040956497
1041,-8.827106476,-6.611940384
1042,-13.49847126,-6.629039288
1043,-17.03380394,-5.626038551
1044,-19.60269737,-4.293132305
1045,-20.65544891,-3.45791626
1046,-19.98678017,-2.845251799
1047,-18.25707436,-1.84634161
1048,-15.79668236,-0.877845109
1049,-13.88540936,0.035661273
1050,-12.33978271,1.843451858
1051,-10.58475208,4.489673615
1052,-8.228752136,6.442105293
1053,-5.837978363,7.458984852
1054,-3.066877127,7.736685276
1055,0.521570921,8.865764618
1056,4.643017769,11.76621628
1057,8.628480911,15.10252857
1058,12.23194695,18.08744431
1059,15.12263012,20.5197525
1060,17.04915619,22.37399292
1061,19.51847839,23.65402031
1062,22.81320381,25.08362198
1063,25.72025299,26.46599007
1064,28.24612808,27.29995537
1065,30.61144638,28.13206482
1066,32.55496597,29.22157097
1067,33.84304047,29.87406349
1068,34.80545425,30.19627953
1069,36.0100708,30.35222054
1070,37.32320786,30.59762192
1071,38.27773666,30.94388199
1072,38.88494492,30.968256
1073,38.96894073,30.75629807
1074,38.65126038,30.39236832
1075,38.55363846,29.96748543
1076,38.55271149,29.38669777
1077,38.32509995,28.54324341
1078,37.82519913,26.83884048
1079,36.88596344,24.45146751
1080,35.64693451,21.80638123
1081,34.3757782,18.84802628
1082,32.92709732,15.77173042
1083,31.47542763,13.1370945
1084,30.10701942,10.7616806
1085,28.51496506,8.426380157
1086,26.67396164,6.181005955
1087,24.81983376,3.85841012
1088,22.87400627,1.462079644
1089,20.9393425,-1.085694551
1090,18.87811852,-3.473278761
1091,16.60632706,-5.603144646
1092,14.24876499,-7.926989555
1093,11.8467598,-10.56644154
1094,9.135022163,-13.29631615
1095,5.9631567,-15.58765507
1096,2.616387367,-17.30924034
1097,-1.499386191,-18.61062622
1098,-6.970985413,-20.19064331
1099,-13.01525021,-21.75214195
1100,-18.89263916,-22.38815117
1101,-24.83361435,-22.81387329
1102,-30.51038361,-22.69832993
1103,-35.13182831,-22.26552582
1104,-38.30171967,-21.77661133
1105,-39.84101868,-21.24582481
1106,-40.14861298,-20.26016235
1107,-39.42911911,-20.05936813
1108,-37.40782547,-19.82955551
1109,-35.82735062,-19.44543648
1110,-34.95033264,-18.73407555
1111,-34.29197693,-17.91818428
1112,-32.83525085,-16.90244675
1113,-30.5449276,-16.01277161
1114,-28.51369286,-14.36452293
1115,-26.8641777,-12.07522011
1116,-24.62812996,-9.878562927
1117,-21.8731041,-7.568528652
1118,-18.48013878,-5.098049164
1119,-15.41627026,-2.436317682
1120,-13.08409691,-0.263354212
1121,-11.27606583,1.369212627
1122,-9.371869087,2.753361702
1123,-7.074195862,3.756444931
1124,-4.340952873,4.157092571
1125,-1.701881528,3.898067474
1126,1.135112047,4.001171112
1127,4.004865646,4.306762695
1128,6.556534767,4.241102695
1129,8.852098465,3.780736923
1130,10.86164856,3.078534842
1131,12.4323082,2.525635481
1132,13.24463844,1.655679822
1133,13.41603851,0.490099579
1134,13.13198471,-1.003301501
1135,12.3727808,-2.880248308
1136,10.92728043,-5.142100811
1137,8.899542809,-7.94435215
1138,6.556724072,-10.20943546
1139,3.560258627,-11.19915867
1140,-0.481009364,-11.75656509
1141,-5.399957657,-12.58881187
1142,-10.83220005,-12.57950878
1143,-15.41113377,-12.13849068
1144,-18.67553329,-10.82467461
1145,-20.69044304,-8.828805923
1146,-21.52688026,-6.992576599
1147,-21.37752151,-5.197762489
1148,-19.11140823,-3.505222559
1149,-16.13264084,-1.723738432
1150,-13.34519863,0.728304386
1151,-10.62652493,3.846999407
1152,-8.168536186,6.423280239
1153,-5.813081264,8.112766266
1154,-3.194323301,9.021827698
1155,-0.403562486,9.873825073
1156,3.320104837,12.09993553
1157,7.474731922,15.38352776
1158,10.40097904,18.11401558
1159,13.02873325,20.31058502
1160,15.78130245,21.76166916
1161,17.87198639,22.67880821
1162,20.10178566,23.46200943
1163,22.65916443,24.01003456
1164,24.94724274,24.30547714
1165,26.93496704,24.76073647
1166,28.36213303,25.60271263
1167,29.14316368,25.77137566
1168,29.50403976,24.59790611
1169,29.78336716,22.85076332
1170,29.92842674,20.83781052
1171,29.66458702,18.64113426
1172,29.07489586,16.74337387
1173,27.82650757,15.13997555
1174,25.69802856,13.49625969
1175,22.68444252,11.23632336
1176,19.14768791,7.769698143
1177,15.130867,3.395096302
1178,10.83102417,-0.618437648
1179,5.78841877,-3.234309435
1180,-0.211042657,-4.982156277
1181,-6.442327023,-5.13901329
1182,-11.70700836,-4.897443771
1183,-15.70897293,-5.220403671
1184,-18.20816422,-6.30237627
1185,-19.42477417,-6.089116096
1186,-18.97532082,-5.826116085
1187,-17.44512367,-4.813214779
1188,-15.44583607,-3.889893532
1189,-13.55671883,-2.93851161
1190,-11.39763165,-1.435485363
1191,-9.38482666,-0.512056291
1192,-7.52118063,0.366769135
1193,-5.510730267,1.801356077
1194,-2.235597372,3.114663363
1195,1.244370341,3.401477575
1196,3.656043291,3.41274929
1197,5.416002274,4.507947445
1198,6.896046162,6.40187645
1199,8.366026878,8.120577812
1200,9.380126953,9.176768303
1201,10.15831375,9.824418068
1202,11.22294235,10.04593754
1203,12.40704727,10.2680912
1204,13.31123257,10.55848312
1205,14.04519176,10.57010078
1206,15.04647827,10.18977547
1207,15.71923637,9.359649658
1208,16.15380669,8.108207703
1209,16.36204147,6.669297695
1210,16.21551895,5.186480045
1211,15.78977871,3.4214046
1212,15.08118725,1.364922881
1213,13.81673622,-0.653432488
1214,11.89130497,-2.819931269
1215,9.510834694,-5.590752602
1216,6.463280678,-8.306994438
