PacketCounter,Left_Hip,Right_Hip
399,11.53791332,6.73832798
400,11.1182766,6.374045849
401,10.39625454,5.996471882
402,9.394460678,5.707426071
403,8.330734253,4.66281271
404,7.485480785,2.839196205
405,6.918775558,0.258933783
406,6.770224094,-2.696091175
407,6.991675854,-5.565431118
408,7.419508457,-8.16604805
409,7.996177673,-10.82447147
410,8.504865646,-13.27657413
411,8.843022346,-15.40386105
412,9.27658844,-16.47743225
413,9.755268097,-16.7598629
414,10.09401512,-16.77829933
415,10.36624622,-16.8359127
416,10.64010811,-17.04574776
417,10.84378624,-17.05704689
418,10.90069675,-16.25937843
419,10.65457439,-15.21190739
420,9.993569374,-14.49290371
421,8.986587524,-14.11462975
422,7.850792885,-14.18144131
423,6.589565754,-14.30326653
424,5.026082516,-13.9291563
425,3.057943106,-12.57093906
426,0.499224037,-11.03523827
427,-2.775457144,-9.948579788
428,-6.436005116,-9.024246216
429,-9.896579742,-7.756512165
430,-13.35897446,-5.348012924
431,-16.88538933,-2.972844601
432,-19.58098793,-0.722563326
433,-21.08154678,1.648577332
434,-21.89735031,3.793667316
435,-22.14752769,5.365965843
436,-21.4308548,6.702869892
437,-20.78953934,7.929907799
438,-20.59707832,8.730893135
439,-20.25587845,9.125538826
440,-19.82726479,8.83452034
441,-20.21832275,7.431945324
442,-20.44249916,5.78508091
443,-21.02130127,4.758548737
444,-20.07885361,3.774133682
445,-19.0962162,2.431629181
446,-17.97447205,0.830738127
447,-16.68104935,-0.369625092
448,-15.55330753,-0.99417448
449,-14.45050716,-1.33781755
450,-13.19766903,-1.41778481
451,-11.73312092,-1.530099034
452,-10.32590675,-1.680865645
453,-9.038743019,-1.873970151
454,-7.82127285,-2.228018761
455,-6.84384346,-2.536098719
456,-6.123237133,-2.464685202
457,-5.516362667,-2.14438343
458,-4.937393665,-1.872091889
459,-4.805581093,-1.700444221
460,-4.928596973,-1.46081388
461,-5.075358868,-1.079508781
462,-5.572191238,-0.662145317
463,-6.881641865,-0.130885333
464,-8.782011032,0.596689343
465,-11.05744553,1.572747827
466,-13.47330856,2.652424812
467,-15.63323593,3.850460768
468,-17.61789513,5.069365501
469,-19.03881073,6.138808727
470,-19.7941246,7.11278677
471,-19.88346291,7.866409302
472,-19.65044022,8.500099182
473,-19.54201889,9.193827629
474,-19.64938545,10.00121498
475,-19.85888863,10.83310032
476,-19.74698639,11.44436264
477,-19.02550316,11.83972168
478,-18.21487236,12.03131771
479,-17.76911926,11.90584755
480,-17.59300613,11.3323307
481,-17.40259552,10.19355774
482,-16.79901505,8.515839577
483,-15.62158203,6.22627306
484,-14.10356236,3.332437515
485,-12.40907669,0.153399393
486,-10.58198452,-3.127256155
487,-8.759682655,-6.423343658
488,-6.855799198,-9.442503929
489,-4.860409737,-11.33733463
490,-2.760833263,-12.4607439
491,-0.701303422,-12.89496994
492,1.210370064,-12.62988949
493,2.803068399,-11.9549818
494,4.111244202,-10.810709
495,5.276583672,-9.817144394
496,6.183863163,-9.280806541
497,6.594738483,-9.004891396
498,6.507418156,-8.528310776
499,5.929195404,-7.552555084
500,4.461894035,-7.091939449
501,2.218219042,-6.848817825
502,-0.162019342,-6.271742821
503,-2.712638378,-5.445808411
504,-4.731964111,-4.509824753
505,-5.978295803,-3.826071739
506,-6.809500217,-3.114310026
507,-7.421751976,-1.861466289
508,-7.82545948,-0.475021511
509,-7.850041389,0.366098225
510,-7.769349575,0.714465141
511,-7.876376152,0.665471435
512,-8.137960434,0.248267218
513,-8.497151375,-0.11647819
514,-8.609951019,-0.337336898
515,-8.374083519,-0.970918536
516,-7.918046474,-2.410777092
517,-7.280513763,-5.003409386
518,-6.513669491,-7.95319891
519,-5.832164288,-11.21615219
520,-5.319057465,-14.02788067
521,-4.55896616,-16.57136345
522,-3.624890327,-18.68076897
523,-2.630106211,-20.22175598
524,-1.67358923,-21.3974247
525,-0.882810831,-22.35410118
526,-0.282487541,-23.22989464
527,0.257087499,-23.97911072
528,0.928604782,-24.02317429
529,1.845530391,-23.37492943
530,2.6518116,-22.43914986
531,3.09895134,-21.59239388
532,3.372822285,-21.03307343
533,3.401741266,-20.87437057
534,2.96579051,-21.06375504
535,1.944528818,-21.23671913
536,0.317374945,-20.77883148
537,-1.808336973,-20.41911888
538,-4.302070618,-18.10143089
539,-7.25403738,-14.86176109
540,-10.71897697,-12.25442123
541,-14.54160309,-9.050122261
542,-18.53907394,-5.893316746
543,-22.12994385,-3.215477943
544,-24.67918396,-0.443616241
545,-25.89094925,2.502871037
546,-26.45828438,5.238019943
547,-26.0924015,7.229065418
548,-24.33184242,8.643641472
549,-23.12976646,9.804279327
550,-22.62992096,10.50800419
551,-22.45859146,10.55508995
552,-22.11042213,9.417732239
553,-21.03277016,7.503201962
554,-19.11156464,5.506306648
555,-17.65007019,3.725510597
556,-16.40483475,1.840015888
557,-14.95295429,-0.106115587
558,-13.38667965,-1.554983854
559,-11.98907566,-2.25051713
560,-10.78311539,-2.46295476
561,-9.547609329,-2.500357389
562,-8.146156311,-2.533630848
563,-6.945820808,-2.454750776
564,-5.926917076,-2.253382206
565,-5.196521759,-1.854899645
566,-5.133845806,-1.068166733
567,-5.30109787,-0.048733402
568,-5.562960148,1.098344564
569,-6.23624897,2.36813736
570,-7.260477543,3.229423285
