PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
448,-2.417644739,1.021962166,-12.26762867,-198.0079498,33.79396439,67.03173828
449,-1.769078732,0.976606607,-12.78097439,-186.0566559,19.71949577,66.18630219
450,-0.397542059,-0.483182967,-13.40161133,-184.5924835,13.09106636,73.06147766
451,-1.719160795,-1.014936566,-12.10311985,-181.5393372,17.73069954,69.581604
452,-2.754332066,-0.065487295,-10.40859985,-188.7855377,26.23297119,62.54010773
453,-3.154947758,1.607351542,-10.37093639,-185.8965149,25.98013306,51.18729019
454,-2.678354025,2.685860634,-10.09646893,-178.4760895,18.72643852,33.58819962
455,-2.178250313,3.431186914,-9.839037895,-165.4574127,13.00047874,18.86661911
456,-1.546623111,4.349646091,-8.886422157,-148.4244537,8.926739693,13.00791836
457,-1.500771046,4.668750763,-8.331638336,-129.9944153,9.177838326,9.554830551
458,-1.056931496,4.424211502,-7.743279934,-111.2218094,16.76626205,9.646073341
459,-0.756733,4.325782299,-7.913067341,-92.53951263,21.19103622,7.234269142
460,-0.606445551,4.508446217,-8.588145256,-74.53353119,17.87843132,3.269515991
461,-0.140391082,4.764077663,-8.445199013,-64.38311005,9.658732414,5.500985622
462,0.130975142,4.812065601,-7.332124233,-61.68799591,6.249085903,8.819649696
463,0.646204352,4.202721596,-7.728530884,-52.85919952,4.974279404,4.947795868
464,0.787156284,2.230312347,-8.6945467,-21.90254021,2.932608128,-3.257588863
465,0.628794789,1.838209987,-8.69575882,25.96954346,2.982685804,-15.75339222
466,0.124783337,3.491273165,-8.187542915,50.74587631,-2.8619771,-27.00203323
467,-0.667992353,4.535958767,-8.445856094,56.90238953,-6.485955238,-30.39828682
468,-0.889535248,3.618720055,-9.171284676,69.46628571,-9.109446526,-28.06145477
469,-0.387511313,2.357641935,-10.10035229,85.08555603,-3.56129241,-21.23768616
470,0.360892236,2.940361261,-9.610557556,90.38809967,-6.970081329,-13.09524632
471,1.143507719,4.12642765,-9.285449028,78.85160828,-18.99324036,-7.271532059
472,1.184502244,3.928690434,-9.110560417,55.24034882,-11.07782936,-5.484451771
473,0.327974528,2.916235447,-9.56900692,35.71165085,-1.620952368,-9.604546547
474,-0.594901264,3.15417099,-9.836216927,31.88739777,-0.638495088,-11.20910168
475,-0.742968798,3.364386082,-10.11692524,33.10332108,0.583818257,-8.389480591
476,-1.075079918,2.714787483,-10.18069935,24.49413872,10.12476349,-0.644641221
477,-0.525835752,2.193355083,-10.07855797,18.78573608,22.18262863,6.459582806
478,-0.473613679,2.016576052,-9.937776566,22.57209206,27.79358292,9.543478012
479,-0.928954065,1.720241308,-10.19198799,30.62978935,22.85452461,14.60691833
480,-1.2178092,1.945818901,-10.88997746,32.70943832,16.61294174,22.72877121
481,-1.46837306,1.880936265,-10.97304058,29.20137787,14.64139366,29.49768257
482,-0.833243608,1.518301725,-10.40842915,19.40862656,20.98938751,29.84541321
483,-0.50590241,2.177602053,-10.14184284,16.11685371,24.19525528,22.71790695
484,-0.785270333,2.355578661,-10.29416752,19.13812065,21.34233475,19.04949951
485,-0.993780017,2.954975843,-10.18606186,18.32380676,12.09000015,21.43700218
486,-0.419987738,2.385624647,-10.12670231,16.7800808,2.900761843,23.80242348
487,0.040110394,2.085608006,-10.09099102,10.73735905,3.331094265,25.08468246
488,-0.22653152,2.851235151,-9.74126339,8.075125694,-1.933014035,24.0600853
489,-0.584922254,3.090368509,-10.60133266,2.073199749,-13.07194233,24.04549599
490,-0.414458811,2.639896393,-11.63046551,-6.218564034,-23.32926178,24.71508789
491,-0.328703135,1.864938021,-11.96160889,-8.091374397,-25.61682129,22.03560638
492,-0.383056849,0.926559329,-11.88218784,-9.353598595,-26.15374184,20.63013077
493,-0.496569246,0.658550918,-11.01430607,-15.12671947,-23.18694496,24.76836395
494,-1.300502658,1.694566488,-9.511459351,-21.11132622,-21.22226715,25.74191666
495,-1.610575557,3.148842335,-8.272263527,-38.11531448,-27.95827103,21.45661354
496,-1.792649508,3.194633484,-7.897234917,-61.6109581,-38.75018311,17.74836159
497,-1.628536701,2.390090704,-7.939822197,-70.98864746,-41.11319733,13.35399246
498,-0.459388465,1.464591503,-8.190924644,-65.1102066,-40.63894272,4.786960125
499,-0.668169975,0.876713872,-8.122921944,-44.52211761,-35.53459549,0.519277751
500,-0.134707153,1.776328564,-8.501194954,-29.02440071,-25.67779732,-7.343579769
501,-1.411295414,3.347222567,-8.469765663,-27.24340439,-17.6633873,-4.976816177
502,-0.850172043,3.579189062,-8.761590004,-37.80995178,-20.18719292,-11.48877716
503,-0.831497014,2.656867266,-9.169050217,-37.85467529,-11.06305599,-11.92532539
504,-0.640714407,1.28948319,-8.67317009,-22.11649513,14.06521511,-11.42915535
505,0.448093683,0.855542243,-8.014117241,-1.309798598,42.36071777,-18.4053688
506,-0.257549971,1.298661947,-7.675643921,13.68139458,56.8613205,-23.34511757
507,-2.142239809,2.209464788,-8.40015316,21.28915215,62.42163086,-28.37781906
508,-2.978732824,2.275630474,-9.57145977,38.51495743,57.67174149,-36.55196762
509,-1.90269649,1.937460899,-9.283593178,72.63345337,50.12365341,-46.78602982
510,-0.676201999,1.188943267,-9.401027679,104.7936096,49.95317459,-55.5727272
511,-1.775369644,1.458173633,-8.902007103,146.686554,58.57844162,-52.14517212
512,0.886601329,1.470380187,-7.798024178,180.0423126,59.78918076,-53.17099762
513,0.523565054,1.426309943,-8.293258667,200.1436768,46.91629028,-39.51464462
514,-1.317168474,0.701228261,-9.586263657,196.9844513,29.24925041,-34.21116638
515,-1.128352165,-0.726447999,-10.49459267,187.7992706,11.28722477,-41.36272812
516,1.150357366,-1.06464982,-11.86346531,189.3118591,-3.614867449,-48.1980629
517,1.956449032,-0.507961273,-12.53702641,183.0341492,-11.93153,-44.94258881
518,0.86513418,-0.423636615,-11.87097836,171.4891205,-13.39025688,-45.05389786
519,-0.163466185,0.115759432,-11.07559872,171.5032043,-18.53930473,-43.38954544
520,-0.665477693,0.197369397,-11.01643467,172.7628174,-26.68939972,-36.34506226
521,-0.830307782,-0.990575433,-11.0739603,152.1228485,-30.23278046,-33.09369278
522,-1.677020788,-1.71637857,-11.75723648,127.3216248,-33.83935547,-37.46817398
523,-1.106764197,-2.115375996,-11.78565121,105.2248611,-28.04404068,-43.12016296
524,0.096399836,-1.67623055,-10.21096325,92.68951416,0.184738472,-44.30955124
525,0.990225196,-1.577682972,-8.735686302,76.69020844,23.27174187,-32.18077087
526,0.451314062,-2.807041883,-8.294329643,52.87307358,13.57589817,-17.84340096
527,-1.419240236,-2.624046803,-8.76728344,34.7937851,-11.13227463,-7.674812317
528,-0.605349362,-3.048975468,-9.834611893,6.141613483,-20.11496925,0.661448896
529,0.404250145,-4.103392601,-9.577366829,-13.18355656,-21.46936035,0.373472363
530,-0.065676548,-3.627757311,-8.72187233,-33.01372147,-16.54803085,3.707827568
531,0.545455456,-2.390516996,-8.07160759,-59.07817459,-18.20506096,11.03862381
532,0.604333878,-2.74934864,-8.281650543,-83.47192383,-23.81672859,18.97623444
533,-0.635631621,-3.547703981,-9.164814949,-95.78778839,-19.19309998,21.61112022
534,-0.613744676,-3.579395294,-10.02647305,-94.09159851,-5.614581585,18.03344917
535,0.270901799,-3.279153347,-10.5506258,-80.0606308,0.042646155,17.35778999
536,0.407226443,-2.21913743,-11.0504961,-70.28038788,-2.491654634,13.1262064
537,0.338913351,-0.826575458,-11.3933754,-71.35761261,-5.182436466,15.53699303
538,-0.290303618,-0.676933169,-11.29467869,-70.87120819,-8.324383736,19.69179153
539,-1.217844963,-1.537799358,-11.01927662,-65.25293732,-2.706751108,23.57686806
540,-1.052231431,-2.585748911,-11.09465885,-50.71140671,1.672156572,25.47050095
541,-1.211416006,-2.956198692,-10.7031126,-34.551651,3.312227726,21.09119415
542,-1.183054328,-2.646037817,-10.0176115,-29.00319672,1.399394155,18.64705849
543,-1.236163855,-2.080842733,-10.19834709,-35.6760788,-3.58553648,19.68907166
544,-1.546112776,-1.033035398,-10.6348238,-44.70272827,-7.714486122,16.65384483
545,-1.929288149,-0.089374639,-10.83451366,-58.68479538,5.524755955,12.85571766
546,-2.190543175,-0.542679965,-11.08612919,-90.41827393,17.21677017,2.698391199
547,-1.806384802,0.165932044,-11.33631325,-66.11541748,11.1674366,-15.60595417
548,-1.336654544,-0.966791987,-11.80690289,-23.46142006,10.36762524,-28.0274086
549,-1.155543804,-1.56647706,-11.96453094,8.085496902,13.9145031,-34.75475311
550,-1.955052495,-0.699816704,-10.24868679,3.944799662,18.67529297,-34.07494354
551,-2.339075565,1.840060592,-9.203767776,-12.29583073,18.95753479,-35.51050568
552,-1.13416779,2.694574594,-9.322341919,-15.32284641,14.74555016,-42.19831848
553,-0.389293224,-0.002949968,-9.296964645,-6.96372366,10.09157467,-42.38731384
554,-0.481065392,-3.06618619,-9.101765633,24.99675941,3.972740412,-40.51931381
555,-0.683365405,-3.278899193,-9.444291115,58.93566132,-4.28161478,-38.24223709
556,-0.638894618,-1.438819885,-10.28125763,77.09214783,-7.382517815,-35.12765121
557,-0.193183064,-0.799015701,-10.72982121,85.78710175,-7.894421577,-32.32382202
558,0.444103599,-1.100894809,-10.87962246,90.58686066,-10.41270638,-26.4535141
559,1.255064845,-2.343834162,-10.03205013,87.35723877,-18.76377487,-17.24539757
560,0.775470495,-2.531415462,-8.651743889,88.03030396,-28.78286743,-17.10515022
561,1.210373163,-1.118495703,-7.612071514,88.99372101,-38.39748001,-10.65053272
562,0.291116238,0.678151488,-7.303222656,73.35475159,-45.25733185,-1.443511724
563,-1.196456552,1.120001793,-7.825942039,54.89264297,-63.20705795,3.882725239
564,-2.527812719,-0.48673898,-9.706323624,32.82040024,-57.48231125,11.5770607
565,-2.393243074,-1.348415136,-10.17285538,3.70650506,-39.02754593,24.1093502
566,-1.484293222,-0.035281006,-8.918581963,-28.18921471,-19.41131783,31.14691925
567,-1.67418313,0.134713739,-8.107616425,-48.72727203,-0.202503011,35.76922607
568,-2.331043243,0.63336885,-9.198308945,-65.97266388,2.995717287,46.69452286
569,-1.950307012,0.908095896,-10.01061058,-102.5087814,2.409004211,57.27787399
570,-2.03870821,-0.007334426,-9.936096191,-140.3617554,12.90245342,64.60714722
571,-1.459615827,-1.688012242,-9.973848343,-146.4845276,24.79561806,69.13098145
572,-1.22986877,-2.134252548,-9.846025467,-151.694046,39.89526749,63.06106186
573,-1.481526613,-0.083021238,-10.81576443,-157.9355316,53.15204239,55.25823975
574,-0.862627625,3.195131063,-10.88147068,-169.7480774,57.85072708,53.59628296
575,-0.271460593,3.480248451,-11.75008678,-188.9462738,52.98516083,58.79800415
576,-0.67026341,2.680519581,-11.99664497,-190.9348297,42.26688004,60.55792618
577,-0.626652241,2.272609711,-11.31233788,-193.5185242,32.29874039,57.973526
578,-0.543518186,2.264264584,-11.03565598,-190.6994781,21.73394585,56.77771759
579,-1.276117682,2.29311204,-10.74083328,-185.5357971,8.244301796,53.67733765
580,-1.357553244,2.986417294,-9.902783394,-172.7528229,3.255904436,42.82382584
581,-0.325498223,3.314763546,-8.563124657,-150.7877502,3.279828548,33.25629044
582,0.064782225,3.255196571,-7.909770489,-122.1584015,-1.594433308,25.90807915
583,-0.512696743,3.928945541,-8.22855854,-96.82004547,-5.473362923,23.44668579
584,-0.930949628,5.274179935,-8.106225014,-77.85591125,4.734131336,23.38017464
585,-0.827182651,5.14482832,-8.646274567,-72.23131561,10.3921299,23.16390991
586,0.084288791,3.801367283,-8.456633568,-61.68773651,12.00726795,22.7447052
587,1.184258103,3.628275871,-7.037637711,-32.96222305,6.219582081,5.873079777
588,1.686398625,4.324494839,-5.769521713,1.188161254,-11.9167738,-9.935488701
589,1.046460032,2.579791784,-5.968749523,21.44931793,-10.63304234,-10.95573711
590,-0.377776057,1.968610168,-6.752694607,56.19808197,1.335718274,-15.01874447
591,-0.107039325,2.910428286,-7.190196514,95.25377655,-3.082548618,-23.5980587
592,-0.02294815,3.682471275,-9.237322807,114.1610336,-20.95571327,-27.65241432
593,0.492187142,4.250172615,-11.13512993,117.5705719,-20.94768143,-20.29611206
594,0.574141264,5.172166824,-11.92325592,105.1867676,-3.45869112,-14.03435326
595,0.908530176,5.461808681,-10.86344528,87.65090942,1.502495289,-13.56604385
596,0.380284727,4.862978458,-9.825641632,73.69734955,1.959322333,-20.46294212
597,-0.508520246,4.54454422,-9.364610672,58.01579666,-8.039476395,-26.92585373
598,-1.087765574,4.51497221,-10.12964249,45.0627327,-14.59897995,-24.12063599
599,-1.072023869,4.34359026,-11.79803658,51.22473907,-13.02585506,-14.45089626
600,-1.547574282,3.826527596,-11.72402668,62.61993408,-12.87759018,-4.679142475
601,-1.351089001,3.199491739,-11.78505039,61.57353592,-10.2453022,0.295011073
602,-1.294862509,3.430829048,-11.33325958,54.60335541,-11.39669228,0.776803195
603,-0.749123454,4.057343006,-10.58795929,43.30683899,-9.406168938,-2.683646679
604,-0.473401546,4.612469196,-9.846569061,29.23681641,-9.879870415,-0.439560205
605,-0.557933211,3.481661797,-9.539072037,15.00946903,-9.227541924,5.290155411
606,-1.248187661,1.295847893,-9.777989388,15.5093565,-2.709590197,12.4756937
607,-1.620337009,0.112458505,-9.265006065,35.89057159,1.157392263,10.14365101
608,-1.337773323,-0.38776809,-9.46797657,54.36418915,-0.792958319,5.84402132
609,-0.30043596,-0.372935653,-9.432790756,55.1906395,-3.50352931,10.07122898
610,0.312246412,1.549996018,-8.943067551,47.04784012,-11.92102051,14.68320084
611,-0.264501989,2.623095751,-9.119522095,24.08490181,-18.95427322,20.88250542
612,-1.894310832,3.216394663,-9.386187553,5.329076767,-23.8795414,23.38717842
613,-1.480639815,2.159110546,-9.731282234,-2.941993237,-23.13249779,20.88494301
614,-0.405442506,0.443072826,-9.997144699,-1.674286485,-17.81841278,16.87935448
615,-0.388633102,-0.114573181,-10.17030334,3.113407135,-13.40060139,14.02695465
616,-0.545219302,1.080899596,-10.13381004,3.012506247,-15.62350845,11.59562874
617,-0.383871794,2.452476025,-9.679162025,-5.703594208,-22.13375092,6.043213367
618,-0.178935528,2.547847986,-9.532024384,-25.50872993,-29.80771446,0.672106445
619,-0.773235083,1.858104825,-9.867372513,-41.23794556,-33.6987381,2.193864584
620,-0.633198082,2.154332161,-9.827078819,-45.93845749,-35.96401215,-2.197461605
621,-1.558080316,1.768892884,-9.727380753,-50.23963547,-25.73365402,1.09005022
622,-2.060570478,0.264847636,-10.28434372,-40.13313293,-0.112818174,4.000277996
623,-2.061789036,-1.523264527,-9.924710274,-19.30641937,17.5016861,-0.92446059
624,-2.133000374,-1.078102708,-8.44157505,16.45464134,14.2215414,-6.819630623
625,-1.015095949,-0.023565959,-7.516565323,46.47068405,8.729801178,-9.208345413
626,-2.160829782,0.775937557,-7.430523872,64.70734406,12.90832138,-6.424257278
627,-2.466089487,0.441231728,-10.22318459,104.6845169,34.64065552,-24.08630753
628,-1.448530197,-0.774275243,-10.93640041,142.753067,46.51156616,-43.29413986
629,-1.247001648,-0.714703679,-10.58099079,160.2613373,50.84348297,-51.7978363
630,-0.02114746,-0.757608294,-10.63518429,170.4489288,48.53212738,-56.06532669
631,0.188487843,-0.684703112,-9.563127518,177.5168304,47.10551453,-51.51802826
632,-0.664999127,-0.049379826,-10.15448189,187.0794678,58.08465958,-50.6295166
633,-1.857353449,2.116103411,-12.2930975,194.620636,65.37060547,-57.78150177
634,-0.762012184,2.356712818,-12.40834904,159.847702,47.93630981,-54.43031311
635,1.001067996,0.350866377,-12.53918839,134.8772278,31.75742912,-41.77826691
636,1.844017982,-1.70938468,-12.34864521,128.2369843,20.4472599,-33.735466
637,0.553235471,-2.444880724,-11.654356,117.0758743,6.915120602,-30.26778603
638,-1.152402043,-2.375225782,-11.08733654,119.7966843,0.667438745,-29.33516502
639,-1.183945775,-1.616999984,-10.56558704,131.0870361,3.96103549,-25.67668724
640,-0.821223974,-1.820845008,-9.578362465,131.4171753,0.787037015,-13.34323788
641,-0.395228028,-2.956265688,-9.007015228,106.9316635,-8.580787659,-1.107173085
642,-0.283288836,-4.400459766,-8.612361908,82.89455414,-15.41814995,2.097553253
643,-0.329629511,-4.982702732,-7.537516117,72.91921234,-17.1567173,-2.139183044
644,-0.060803037,-4.670273304,-6.389167786,60.89303589,-11.28802109,-2.254235983
645,-0.544466019,-4.604855061,-7.110243797,44.4421463,-15.22953892,0.944770336
646,-0.34441036,-4.498125553,-9.158734322,22.47871399,-17.59578896,1.140408516
647,0.079030342,-4.057465553,-8.078577042,2.357033968,1.219702363,-2.605541229
648,1.446600914,-2.28377223,-6.843870163,-19.53331184,11.1764164,3.234915495
649,1.313819528,-0.455869913,-6.479735374,-63.04182816,16.21941566,12.34560013
650,0.228368759,-1.165657163,-7.311016083,-92.40010834,26.17493439,18.26295471
651,-0.515776217,-2.404454947,-9.041897774,-101.8784485,26.23819542,16.76293755
652,0.074397065,-3.935215712,-10.63678837,-106.2399597,28.62928772,21.3068676
653,0.921346784,-4.16257,-11.53902817,-110.3437271,13.44004059,23.2173481
654,1.08189249,-3.102035522,-11.52467537,-104.877388,-4.966798782,22.46937943
655,0.989017963,-2.116054535,-11.08281612,-99.3734436,-17.68814087,23.75880432
656,0.200070098,-2.727493286,-11.14660168,-97.75447083,-17.16013336,24.17580605
657,-0.312867701,-3.557953596,-10.69048882,-83.89290619,-13.57373238,20.50341606
