PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
1199,6.557966232,-0.288178712,2.871183872,48.14186478,-41.50616455,-13.03781796
1200,7.12602663,-1.083593845,2.603649378,25.52646065,-35.96415329,-11.62961864
1201,7.828837395,-1.828750134,3.136314154,23.2361412,-30.30509949,-10.30669594
1202,7.243821621,-1.383056283,3.551669359,32.43151093,-25.77453041,-9.431425095
1203,7.358679771,-1.998873711,3.732123137,33.0178299,-23.56315994,-7.886902332
1204,7.938822746,-2.473967314,3.888317585,34.46898651,-19.45674324,-5.264527321
1205,8.361618996,-2.293060541,2.856058836,42.57393646,-18.34062386,-2.453984022
1206,7.935071945,-1.772646427,3.790816307,59.08143616,-11.3856802,-4.194261074
1207,8.396486282,-1.253117442,4.874857426,45.35985947,4.882271767,-7.365742683
1208,8.889270782,-1.560231805,5.102136135,27.77510452,4.851527214,-4.869039536
1209,7.842495441,-1.378208637,3.713566303,43.66785812,-6.981903076,-0.494366974
1210,8.851938248,-1.962313294,4.577507496,46.34498215,0.910493493,-1.434923887
1211,9.14851284,-1.610075116,4.727855682,52.36521912,5.011807442,2.723840952
1212,8.557434082,-0.635690093,4.282051563,47.34663391,6.864598274,3.524662495
1213,8.467002869,-0.934258103,4.936384201,37.05540085,10.66170788,6.393751621
1214,8.512060165,-2.051560402,4.354793549,29.27456284,10.05484676,10.27091599
1215,9.60236454,-2.323593378,4.892747402,30.86984634,19.32913971,13.09114742
1216,9.441470146,-1.20833981,5.029651165,34.0439415,23.89956284,15.71238041
1217,8.929738045,-1.081497788,5.779631615,32.77510834,28.23874283,16.01068687
1218,9.047168732,-2.053184509,5.403913021,33.586689,22.72635078,18.66017914
1219,9.028755188,-2.585656881,6.235058784,30.55964279,27.21464157,17.33905602
1220,9.690270424,-1.983747959,6.156710625,29.09166527,27.8993721,18.99076462
1221,9.30633831,-1.613844752,6.022964001,30.72117424,30.13840485,25.68708229
1222,8.506303787,-2.155784845,5.129926682,36.62919998,31.28684998,25.9368763
1223,9.170278549,-2.875650167,5.007661819,42.01799774,35.07162476,19.8075161
1224,8.99697876,-2.286151171,5.595009327,41.4116745,41.48245621,19.0352993
1225,8.734242439,-1.580396891,5.755650043,36.44003677,45.1421051,15.449193
1226,8.595214844,-1.898108959,6.296178818,30.19367027,48.85051346,16.5720253
1227,8.071234703,-1.80083549,5.523183823,36.94820786,45.26235962,21.15939331
1228,8.422451019,-1.714344144,5.059271812,30.78568459,35.2303772,18.51683617
1229,8.214940071,-2.003084183,5.028962612,27.94792747,38.34175873,26.77714348
1230,8.916286469,-1.230436444,5.232586861,23.70197487,37.08994293,25.45598602
1231,9.441635132,-0.752329588,5.371459007,25.71176147,35.88757706,26.50152397
1232,8.975549698,-0.738136709,5.199902058,23.85182571,31.89730835,31.41359329
1233,9.137083054,-1.565525055,4.805401802,27.25498772,27.34488869,21.67464638
1234,10.12262154,-2.741759062,5.956439018,26.86650276,28.28686523,16.63073158
1235,10.22792149,-1.606241465,5.888207912,29.75751305,23.32547569,16.57710266
1236,10.16547394,-0.593006432,5.608839035,31.7653656,15.46988487,17.00706673
1237,10.29990768,-1.94480443,6.089578629,31.52177048,15.1069479,19.30477715
1238,11.32971859,-3.299480438,6.827092171,28.4621582,14.33657074,14.29484558
1239,11.97260475,-2.572811127,6.861430645,26.37496758,10.84719276,11.84425831
1240,11.80279827,-1.570288897,6.232274532,30.22871017,11.8322506,9.954332352
1241,12.25571823,-1.835568666,5.529568672,24.46190071,13.23298836,7.708696842
1242,12.34527683,-2.003889322,5.024810791,27.26761436,22.50409126,6.399176121
1243,13.38099575,-1.454646826,5.188736916,23.52973366,27.70028305,4.239401817
1244,13.61671066,-2.239608526,4.921565533,4.554125786,41.06110001,-0.0035858
1245,13.88484383,-1.769728541,3.860860586,-3.635712624,46.89587784,-3.118267775
1246,13.76183605,-0.99400425,3.016855001,4.225640297,41.27728653,-0.237200633
1247,13.87238884,-0.636796832,2.856383085,4.157381058,49.48662186,-1.095618606
1248,14.45482922,-1.072788835,2.804676056,-19.50792122,68.94072723,-5.807939053
1249,14.75119972,-1.598668337,2.915144205,-41.47213745,85.61998749,-9.085834503
1250,14.49141026,-1.949402928,2.380149603,-39.38127136,86.42442322,-7.759712219
1251,14.16113377,-1.502634764,0.652030289,-26.54185677,83.44503021,-5.613188744
1252,13.21361256,-1.562973261,0.400511563,-39.21987915,104.51828,-5.172097683
1253,12.60436058,-1.969078779,1.118189573,-42.11713791,145.3379822,-1.641458035
1254,11.7202816,-1.451804161,0.761115313,-24.95036125,154.2000732,2.546857595
1255,11.03719521,0.059830438,1.669611692,-8.095088005,144.5542145,-1.458091259
1256,11.66481972,-0.419809312,3.682517767,-20.77972221,130.1410522,-2.94919467
1257,11.45000172,-2.658842564,4.224387169,-36.38664627,114.5959625,0.126904562
1258,10.33494377,-3.03125596,4.679667473,-19.46292686,79.2244339,10.99107456
1259,10.20905399,-2.422159433,5.35684967,15.17103672,35.33996964,15.34146595
1260,9.056483269,-2.61925149,5.739256382,27.18497276,6.541655064,1.134658456
1261,6.620764256,-3.28194809,6.548631668,31.49300575,-8.624052048,3.838089943
1262,2.42841959,-3.434346676,8.892900467,30.1907959,-17.22810936,17.66592789
1263,-1.60590744,-2.698616982,9.909837723,24.39267921,1.347096801,10.38345909
1264,-0.073118672,-0.524992228,10.16817188,10.54818535,4.74998951,14.4756279
1265,3.818016529,-1.283370852,10.60578537,-0.106600165,-3.987607002,16.67162514
1266,4.281700611,-1.28483057,11.0006609,-7.278831959,6.288881302,7.023018837
1267,4.176120281,-1.522446513,12.0555582,-1.946959138,21.44298744,-2.732937336
1268,3.837572098,-1.547137618,11.9100771,-0.824961424,26.12657166,-0.746266186
1269,3.876779318,-2.564342737,10.66332245,12.74574661,32.38349915,-3.207056761
1270,3.185585976,-1.618638396,10.07233047,27.0869503,27.58036613,-2.40815711
1271,2.701797724,-1.498945236,9.136034012,22.5031929,9.472844124,1.529177308
1272,2.551702261,-2.351820946,7.973525047,14.09240723,-5.426849365,2.925043583
1273,3.011532545,-2.204400539,8.64329052,10.29025745,0.0663177,3.399529934
1274,3.851988792,-1.708699107,8.937394142,-2.146075249,4.58439827,2.94355917
1275,3.405848742,-1.345661402,8.949214935,-4.024562836,7.381767273,0.371070445
1276,3.548914433,-0.856347322,9.373716354,8.079866409,15.65718651,-3.46252656
1277,3.982254028,-1.088778734,9.992854118,8.699391365,23.30209541,0.173532814
1278,3.994822741,-1.830263138,10.42821598,-5.59356308,15.6888504,2.106832027
1279,3.684822083,-2.146371365,9.821238518,-7.562298298,14.95491791,3.373394489
1280,3.764776468,-1.725997925,9.420631409,-2.330289602,12.36072063,2.706470013
1281,3.403436422,-1.449039936,9.709075928,-4.377206802,10.18018246,8.792307854
1282,4.190515518,-2.028204679,9.794822693,-11.38881588,15.85173702,10.73780918
1283,3.670520544,-2.637744665,9.595651627,-12.41834736,26.67549133,10.27021027
1284,3.83996582,-1.837515354,8.757912636,0.104327343,33.70230484,6.757407188
1285,3.669159889,-1.458149314,8.098223686,13.27729416,40.47234726,8.307732582
1286,3.012297153,-1.111399889,8.534365654,10.97979355,45.11813354,5.824327946
1287,2.737207413,-0.715973318,8.957241058,-11.08619976,55.54983521,6.185800552
1288,2.177494526,-1.199676633,8.260379791,-20.02536774,60.16090775,2.797336817
1289,2.278333664,-1.801599145,8.353171349,-27.81827164,61.37918091,5.824171543
1290,0.81695199,-2.046478748,7.887123108,-19.00349808,50.53098679,1.046052575
1291,0.568052769,-1.610838294,8.359438896,-4.269990444,30.72536659,0.498424798
1292,0.953366697,-1.759472251,9.381849289,2.150580883,23.23421288,-2.209995985
1293,1.006239653,-2.264881134,8.470132828,12.98775482,2.99567008,-4.389213085
1294,0.669206381,-1.862100124,8.57461071,25.49986267,-17.49913406,-8.736908913
1295,0.783720613,-0.662439048,8.596981049,26.15645981,-44.83386993,-10.79287052
1296,1.463387728,-1.526170015,8.438019753,16.17126846,-70.36649323,-14.20998383
1297,1.965079069,-2.37495327,9.089996338,5.852292061,-88.69210052,-16.44468689
1298,2.764807701,-2.477917194,9.889476776,-2.057007313,-101.2440414,-19.19595146
1299,3.393863201,-1.763378024,10.83993626,-15.60019684,-108.1171112,-24.97400093
1300,3.53372407,-1.087414622,11.02787685,-24.63094521,-123.8663025,-24.59353256
1301,4.373137474,-1.634257555,10.9239397,-10.42512417,-143.783905,-28.48523331
1302,6.040746689,-2.185932159,11.73465633,6.95076704,-156.8317108,-30.66360855
1303,7.540448189,-2.651682615,12.65330791,15.0434351,-174.0503082,-27.92482376
1304,8.343977928,-2.915718079,13.87808704,13.82011604,-182.6464081,-20.35344887
1305,9.142375946,-4.088818073,14.06935596,3.412739515,-161.6647644,-23.7735424
1306,9.982260704,-4.159534931,14.18900585,15.60603142,-148.4390259,-24.41550446
1307,9.628832817,-3.178434134,12.37132168,17.98697662,-124.1448059,-16.4719944
1308,9.741078377,-1.668430448,9.914678574,4.019300461,-82.37389374,-10.52793503
1309,10.22175598,-1.299663186,8.998192787,-1.807493091,-27.30769348,0.167526722
1310,11.47748184,-2.190112114,9.681908607,-18.36524391,19.93149567,11.53120995
1311,13.09904766,-2.928611994,9.262260437,-42.35779953,63.63172913,22.75738716
1312,13.26764488,-2.85152173,6.141878128,-23.20331764,96.70940399,32.42050934
1313,12.66513062,-2.530185461,3.737935781,5.452677727,129.8720245,30.37908745
1314,12.0454731,-2.58296442,1.1308887,21.05155945,159.4975281,27.58272171
1315,10.10555077,-1.231364846,-1.340318918,43.44944763,188.2897034,23.82182312
1316,8.393252373,-0.005791511,-2.274871111,42.9742775,221.7471924,20.45542908
1317,5.35639143,1.321293592,-2.060890675,40.7532959,256.6871643,19.59453201
1318,0.81683439,1.008564115,-0.598669112,38.14522171,284.8321838,24.38821793
1319,-3.37456131,0.448718458,3.572654009,36.03757095,272.6372375,19.89016533
1320,-5.236097813,1.210706592,3.546960592,-46.09519958,236.4238586,29.97817612
1321,-4.820170879,-0.555071294,4.765054703,-26.63959503,185.6622162,32.11881638
1322,-2.954836845,-1.724499822,7.379518986,-14.24857521,131.3441315,29.57978439
1323,-2.824275494,-0.896250188,7.461294174,21.73844337,91.11161041,29.40957642
1324,-3.855879784,0.472263545,6.340022564,48.69184494,51.34995651,20.03069115
1325,-2.9815588,1.224397063,6.496447086,30.25641251,12.33289242,10.30211639
1326,-1.784375548,-0.721125126,10.09742641,-19.67558479,-1.743664503,10.1740036
1327,-1.529547095,-2.057271957,12.22650623,-34.45094681,-0.504649222,6.460326195
1328,-0.966046274,-1.214336157,11.43856239,-15.77237415,-19.5894928,2.370492458
1329,-0.007160187,-0.930056453,9.269635201,-3.314981461,-52.4153862,-0.011180053
1330,-0.356208205,-0.884480178,8.440394402,2.172743797,-81.38867188,-1.867311835
1331,-0.879565954,-1.919728518,8.785189629,-3.981121302,-103.8816376,-6.483923435
1332,-0.278035671,-2.179964781,9.58840847,-21.02828598,-120.6008453,-9.342600822
1333,0.762963951,-2.007103443,10.28836823,-24.88818932,-136.0099487,-12.01842117
1334,1.646926641,-2.290342569,10.66656303,-18.10746002,-146.9564056,-18.1842289
1335,3.330425262,-2.935128927,11.34163761,-5.059789658,-155.9132996,-29.06987953
1336,5.488625526,-2.627577305,11.94531631,26.77306557,-163.7688751,-31.31020164
1337,6.815648079,-1.029047251,13.667799,60.84121704,-174.319458,-20.3511734
1338,6.882105827,-0.575495422,15.74093628,53.97161484,-188.7544403,-6.368303776
1339,6.43813467,-2.295644999,15.63720989,27.09706306,-196.6308899,-3.974541664
1340,7.434092522,-2.353003979,14.38390255,15.9691143,-191.4317017,-14.36307144
1341,8.886972427,-2.134990215,14.11140442,12.73882198,-165.9669952,-20.3486805
1342,9.527122498,-1.877053618,12.98997211,-7.722044468,-134.1237488,-24.95104408
1343,10.15011883,-1.537729502,12.42023182,-2.57993269,-102.6210556,-22.01626778
1344,10.31366158,-2.060996294,11.55614758,12.19752407,-61.58459091,-9.84897995
1345,10.70133114,-2.42192173,10.56933594,5.28918314,-3.283484459,-2.001351118
1346,11.86834049,-2.326720238,9.528590202,-3.071265221,35.44034576,9.011281967
1347,12.39072895,-2.084042311,7.946743488,-4.04853487,67.49855804,17.61710167
1348,12.0534029,-1.731286287,5.556255341,14.54045677,91.07276917,18.69321251
1349,10.91249847,-1.230450153,2.817102432,20.261549,109.6436462,22.24308777
1350,10.21064854,-1.224957585,1.781994939,14.27664757,139.2840424,25.39012527
1351,10.24548626,-0.194540143,0.822651744,7.920246601,163.4552155,26.64677811
1352,6.975178719,0.574532449,-0.386213452,12.24683571,198.6037903,30.75955963
1353,3.992768049,0.270693094,-0.066761479,5.545628548,231.9106293,28.48286438
1354,0.704670846,0.241362944,2.289015055,-11.53631306,271.1662292,28.81435585
1355,0.23500149,0.933752418,4.216125488,-41.61804199,296.3103943,35.03860855
1356,-0.717585206,0.68882376,4.297556877,-49.47661972,283.717041,37.54772949
1357,-2.361266375,-0.403428406,6.72674036,-69.09066772,244.9247437,47.70795822
1358,-4.558098316,-1.481284618,7.766012669,-87.30987549,189.3635101,45.8973465
1359,-4.59406662,-1.693358183,9.693835258,-59.87850189,140.6696472,42.53216553
1360,-4.288175106,-2.2706213,7.447861195,-21.74906349,96.83900452,31.96312714
1361,-3.171480417,-1.733065605,6.604838371,28.109375,63.63887405,16.87471771
1362,-2.749805212,-0.458284169,7.816706657,13.07593727,23.87587166,11.10020542
1363,-1.94979012,-0.36460188,11.5727644,-7.251015186,14.97558975,6.095310688
1364,-3.108146906,-1.817451239,13.5590601,-26.32305336,6.730164051,0.013741248
1365,-2.151429653,-2.804125786,11.97887135,-21.73612976,-16.22569466,-6.643369675
1366,-0.45687893,-2.710292101,10.56058311,-3.582580566,-51.20378494,-16.50352478
1367,0.044199921,-1.660077929,11.00551891,-8.681729317,-85.11952972,-18.9064579
1368,0.039031804,-1.893939257,11.35262299,-10.53947163,-106.6638184,-26.96192741
1369,0.220815852,-2.145295858,11.53474236,-4.299950123,-131.1056824,-31.44788933
1370,-0.275109589,-2.063301563,13.54736519,11.18220043,-147.157547,-32.56484604
1371,0.149609029,-2.379281521,11.97492886,33.71734619,-180.3539581,-33.38273239
1372,2.010899067,-3.900161982,12.36633873,33.42640686,-218.3347321,-34.26486206
1373,4.214237213,-4.164385796,11.99774551,39.21105957,-238.5810242,-34.15344238
1374,5.262667179,-3.242254496,13.19730091,35.26460648,-238.4129944,-31.7713871
1375,5.887423515,-2.093152285,12.0336628,34.73071671,-241.3418121,-35.55638123
1376,7.715817451,0.016883112,11.06134892,31.50881004,-253.9437561,-38.85300827
1377,9.161513329,-0.08913213,10.5241785,10.83148098,-252.4840393,-36.62026978
1378,9.32519722,-2.004207134,10.93050289,-10.60272884,-237.2982635,-33.32650757
1379,10.36977863,-4.134131908,11.94237137,-21.07103348,-224.4342957,-37.30148697
1380,11.81523514,-4.016043186,11.80433178,-12.30133343,-204.8829346,-43.96086884
1381,11.64190483,-1.538742661,10.28852844,8.80500412,-178.6075745,-40.25835419
1382,12.47168732,-1.24110353,8.618954659,36.66704559,-147.4147644,-26.57245636
1383,12.35833645,-2.994606018,8.330806732,30.01610374,-77.25272369,-21.54477119
1384,11.06568241,-1.609566331,7.586628914,14.060112,-23.85315895,-16.96317673
1385,11.6297121,-0.686938882,4.572743893,6.18533659,11.18962479,-3.904978752
1386,11.15949726,-0.825791538,1.455048323,0.935075223,63.06843567,6.333476543
1387,10.07938766,-1.044336081,1.350733638,11.98184204,88.22332001,14.85741043
1388,6.433262825,1.116799355,1.341870189,-12.9375906,112.8992386,3.530571222
1389,6.596725941,2.24968195,0.689765811,-40.82952499,95.07227325,18.74458504
1390,1.545296788,1.306142807,-1.634702802,-51.18236923,93.79116058,31.04143524
1391,0.893109441,0.270536065,-2.465690374,-83.84067535,114.9985428,12.48441887
1392,-0.538864553,-1.233406782,0.662021577,-66.01039124,139.0625153,26.62344742
1393,-0.300551116,-2.69815135,3.972542524,-48.84054565,114.8207932,19.03850746
1394,-0.586454511,-1.618574381,5.616909981,-10.11401653,73.92132568,8.779971123
1395,-1.455896258,0.52622062,6.082052231,19.89411545,35.52395248,10.99874496
1396,-2.046977043,0.709044576,6.557964325,19.28480148,15.6897049,8.795761108
1397,-2.170850992,-1.044241905,4.892501831,15.48467922,-12.70624065,11.47418404
1398,-0.886541963,-3.989693403,5.896160603,10.13047314,-21.54073143,7.964414597
1399,3.910683632,-3.159215927,7.553231239,-5.146047592,-19.57775116,-3.273371935
1400,4.477313519,-0.134882033,9.983513832,-18.46135521,-24.5904808,0.696193933
1401,2.287547588,-2.102978945,9.711458206,-23.42652893,-45.59923172,10.14809227
1402,2.957736254,-3.197039843,8.75130558,-11.09047413,-58.3572464,9.02550602
1403,4.355453491,-2.310790062,8.701337814,0.242875978,-64.68860626,-0.189748079
1404,5.459083557,-2.17783165,8.566782951,9.903461456,-64.42202759,-9.143078804
1405,6.084269047,-1.218271852,8.175932884,20.38838768,-58.30783081,-15.05238819
1406,6.434518814,-1.093552113,7.837535858,16.28741455,-55.82355499,-19.353405
1407,7.846065044,-2.606106997,8.031001091,4.942912102,-43.8780632,-17.88625717
1408,8.275327682,-4.21963501,9.215508461,17.06887627,-33.42837906,-12.57381725
1409,8.920842171,-3.554686069,10.18709278,29.40406036,-34.64693832,-6.619939804
1410,9.179922104,-1.728114486,10.84039593,27.62246895,-29.46728134,-16.50596428
1411,10.33758545,-2.029361486,10.7302475,5.375870705,-18.31591034,-20.53278732
1412,11.47037125,-3.370110989,10.24145794,6.781851292,-3.301162243,-21.11676025
1413,9.922125816,-2.623676062,9.934557915,39.82194519,12.46562862,-3.510229111
1414,9.656335831,-1.835744977,11.12385845,35.15566635,30.12146187,6.522458553
1415,10.17721558,-1.598590136,10.42879009,16.44932365,66.58042145,10.49228477
1416,9.536540985,-2.116210222,9.212090492,-10.72091389,123.0792847,4.935365677
1417,11.47123623,-2.057960749,8.84233284,9.212514877,155.8594818,15.24480343
1418,9.730751991,-2.821902752,9.321317673,13.7562151,192.8322449,25.44675255
1419,9.212248802,-2.140612364,8.216892242,24.83594322,200.2719879,24.22817993
1420,9.771668434,-0.681026578,5.348265171,20.6264801,202.6847839,28.805233
1421,9.186094284,0.436172485,2.590270281,13.96110249,203.0580292,34.89385605
1422,10.21940994,-0.369808167,1.163077831,5.877027035,225.8749084,35.33457565
1423,9.116823196,1.338239789,-0.103036374,-2.727581263,254.7725677,34.7988472
1424,3.985255003,1.676531434,0.124399416,10.74658489,279.2595825,37.39422607
1425,-2.568866968,1.374984503,1.454290628,9.185665131,287.4554443,42.31258774
1426,-5.604484558,0.840059638,4.662453175,-23.43414307,257.2640076,39.75839996
1427,-4.861382484,-0.350807518,3.327722311,-69.77833557,221.2439728,46.17995834
1428,-8.191133499,-1.276038289,5.532745838,-80.48027802,195.4090576,44.11523438
1429,-4.89687109,-2.64049387,7.664633274,-65.11173248,150.1849365,39.24464035
1430,-5.317146301,-3.16706419,9.259707451,-34.23365402,135.2312164,41.73046875
1431,-4.065654755,-2.318294287,8.411531448,7.485013962,96.00764465,33.07291794
1432,-5.526296616,-0.735961139,6.660943031,31.10521126,50.57500076,21.83972359
1433,-4.538893223,-2.296368122,10.39541721,17.22336388,26.76702309,6.436380386
1434,-3.885584116,-1.353110194,12.18304443,-4.944693089,19.51838875,9.518828392
1435,-7.34831953,0.829668581,9.300461769,9.122290611,15.63946342,-11.16600132
1436,3.358151436,-1.424123645,10.27077007,-16.82724571,-26.59960365,20.83372498
1437,-5.876889229,-1.827643752,10.02163792,0.454897046,-41.36798096,4.34255743
1438,-4.59451437,-2.884090662,9.391992569,-13.58330059,-67.00084686,-7.139562607
1439,-1.809387922,-3.111103535,10.36053276,-22.45215034,-76.55449677,-12.74753284
1440,-1.583175659,-2.452939987,11.70972729,-20.644907,-77.71561432,-16.46290398
1441,-1.427574992,-2.481773138,12.14877605,-26.81161118,-86.43802643,-17.01217079
1442,-0.845758855,-3.178447723,12.01856232,-17.31252098,-99.80702972,-21.23279381
1443,-1.117934942,-3.101176977,11.08808804,3.006955147,-111.1945419,-28.02003479
1444,-0.309892058,-3.493383169,12.03876495,19.53772736,-113.7285004,-34.76342392
1445,0.406885177,-2.992818832,12.45015812,31.2075386,-115.4846039,-35.69429016
1446,0.789555132,-1.336738467,12.31803417,43.92298889,-128.9190979,-34.48997498
1447,0.610325694,-1.254912138,12.61299706,38.00582123,-148.2306213,-35.84386063
1448,1.220452309,-2.243354082,12.37782764,29.32116508,-163.3019867,-33.6699028
1449,2.344586849,-2.241672516,12.28933525,29.4705143,-174.3095856,-35.22793961
1450,3.564685345,-1.854240656,11.3706665,36.46047974,-180.5427551,-36.29983521
